market,n,mean_prediction_pct,actual_rate_pct,brier,baseline_brier,brier_skill,log_loss,ece
HOME_WIN,320,43.85116844427789,45.625,0.21636626987136248,0.24808593749999996,0.12785758011228465,0.6207267684515195,0.057842030744421874
DRAW,320,24.433456491189382,25.3125,0.1881054498093493,0.18905273437499998,0.005010689577076843,0.5625741158684104,0.01472167185139306
AWAY_WIN,320,31.715375064532726,29.062500000000004,0.1811493778023496,0.206162109375,0.12132555127845213,0.540635191367447,0.047967548156482
1X,320,68.28462493546728,70.9375,0.18114937780234958,0.206162109375,0.12132555127845224,0.5406351913674469,0.04796754815648199
X2,320,56.14883155572211,54.37499999999999,0.21636626987136248,0.2480859375,0.12785758011228476,0.6207267684515194,0.057842030744421874
OVER_1_5,320,73.57012761628887,75.0,0.1940460887225795,0.1875,-0.034912473187090676,0.5786470425774185,0.056062829183813265
OVER_2_5,320,49.33339744425348,55.00000000000001,0.25708321460271233,0.2475,-0.03872005900085784,0.7079725996985867,0.08434604563785009
UNDER_3_5,320,71.88531078430083,70.0,0.21714170408859465,0.21000000000000002,-0.03400811470759346,0.6305835247981537,0.05971342079965656
BTTS,320,50.14824074515337,51.24999999999999,0.25870903278223245,0.24984375,-0.035483308196552654,0.710905345049486,0.09285946967249174
HOME_SCORES,320,74.91542562035247,77.8125,0.1698343389326798,0.17264648437500002,0.016288460506453495,0.5203273646486207,0.05494745815736235
AWAY_SCORES,320,67.69504884620143,67.1875,0.20877109664739812,0.220458984375,0.05301615518522396,0.6064687530498517,0.011871986157206948
