competition,match_id,kickoff,home,away,reason,league_history,home_history,away_history,home_venue,away_venue
BSA,554740,2026-01-28T22:00:00+00:00,CA Mineiro,SE Palmeiras,LIGA_INSUFICIENTE,0,0,0,0,0
BSA,554744,2026-01-28T22:00:00+00:00,Coritiba FBC,RB Bragantino,LIGA_INSUFICIENTE,0,0,0,0,0
BSA,554746,2026-01-28T22:00:00+00:00,SC Internacional,CA Paranaense,LIGA_INSUFICIENTE,0,0,0,0,0
BSA,554749,2026-01-28T22:00:00+00:00,EC Vitória,Clube do Remo,LIGA_INSUFICIENTE,0,0,0,0,0
BSA,554745,2026-01-28T22:30:00+00:00,Fluminense FC,Grêmio FBPA,LIGA_INSUFICIENTE,4,0,0,0,0
BSA,554742,2026-01-28T23:00:00+00:00,Chapecoense AF,Santos FC,LIGA_INSUFICIENTE,5,0,0,0,0
BSA,554743,2026-01-28T23:00:00+00:00,SC Corinthians Paulista,EC Bahia,LIGA_INSUFICIENTE,5,0,0,0,0
BSA,554748,2026-01-29T00:30:00+00:00,São Paulo FC,CR Flamengo,LIGA_INSUFICIENTE,7,0,0,0,0
BSA,554747,2026-01-29T23:00:00+00:00,Mirassol FC,CR Vasco da Gama,LIGA_INSUFICIENTE,8,0,0,0,0
BSA,554741,2026-01-30T00:30:00+00:00,Botafogo FR,Cruzeiro EC,LIGA_INSUFICIENTE,9,0,0,0,0
BSA,554752,2026-02-04T22:00:00+00:00,RB Bragantino,CA Mineiro,LIGA_INSUFICIENTE,10,0,0,0,0
BSA,554754,2026-02-04T22:00:00+00:00,CR Flamengo,SC Internacional,LIGA_INSUFICIENTE,10,0,0,0,0
BSA,554757,2026-02-04T23:00:00+00:00,Clube do Remo,Mirassol FC,LIGA_INSUFICIENTE,12,0,0,0,0
BSA,554758,2026-02-04T23:00:00+00:00,Santos FC,São Paulo FC,LIGA_INSUFICIENTE,12,0,0,0,0
BSA,554755,2026-02-05T00:30:00+00:00,Grêmio FBPA,Botafogo FR,LIGA_INSUFICIENTE,14,0,0,0,0
BSA,554756,2026-02-05T00:30:00+00:00,SE Palmeiras,EC Vitória,LIGA_INSUFICIENTE,14,0,0,0,0
BSA,554751,2026-02-05T22:00:00+00:00,EC Bahia,Fluminense FC,LIGA_INSUFICIENTE,16,0,0,0,0
BSA,554759,2026-02-05T23:00:00+00:00,CR Vasco da Gama,Chapecoense AF,LIGA_INSUFICIENTE,17,0,0,0,0
BSA,554753,2026-02-06T00:30:00+00:00,Cruzeiro EC,Coritiba FBC,LIGA_INSUFICIENTE,18,0,0,0,0
BSA,554769,2026-02-11T00:30:00+00:00,EC Vitória,CR Flamengo,LIGA_INSUFICIENTE,19,0,0,0,0
BSA,554762,2026-02-11T22:00:00+00:00,Chapecoense AF,Coritiba FBC,LIGA_INSUFICIENTE,20,0,0,0,0
BSA,554766,2026-02-11T22:00:00+00:00,Mirassol FC,Cruzeiro EC,LIGA_INSUFICIENTE,20,0,0,0,0
BSA,554761,2026-02-11T23:00:00+00:00,CA Mineiro,Clube do Remo,LIGA_INSUFICIENTE,22,0,0,0,0
BSA,554767,2026-02-12T00:30:00+00:00,São Paulo FC,Grêmio FBPA,LIGA_INSUFICIENTE,23,0,0,0,0
BSA,554768,2026-02-12T00:30:00+00:00,CR Vasco da Gama,EC Bahia,LIGA_INSUFICIENTE,23,0,0,0,0
BSA,554760,2026-02-12T22:00:00+00:00,CA Paranaense,Santos FC,LIGA_INSUFICIENTE,25,0,0,0,0
BSA,554764,2026-02-12T22:30:00+00:00,Fluminense FC,Botafogo FR,LIGA_INSUFICIENTE,26,0,0,0,0
BSA,554763,2026-02-12T23:00:00+00:00,SC Corinthians Paulista,RB Bragantino,LIGA_INSUFICIENTE,27,0,0,0,0
BSA,554765,2026-02-13T00:30:00+00:00,SC Internacional,SE Palmeiras,LIGA_INSUFICIENTE,28,0,0,0,0
BSA,554750,2026-02-19T22:30:00+00:00,CA Paranaense,SC Corinthians Paulista,LIGA_INSUFICIENTE,29,0,0,0,0
BSA,554772,2026-02-25T22:00:00+00:00,RB Bragantino,CA Paranaense,LIGA_INSUFICIENTE,30,0,0,0,0
BSA,554778,2026-02-25T22:00:00+00:00,Clube do Remo,SC Internacional,LIGA_INSUFICIENTE,30,0,0,0,0
BSA,554773,2026-02-25T22:30:00+00:00,Coritiba FBC,São Paulo FC,LIGA_INSUFICIENTE,32,0,0,0,0
BSA,554774,2026-02-25T23:00:00+00:00,Cruzeiro EC,SC Corinthians Paulista,LIGA_INSUFICIENTE,33,0,0,0,0
BSA,554776,2026-02-26T00:30:00+00:00,Grêmio FBPA,CA Mineiro,LIGA_INSUFICIENTE,34,0,0,0,0
BSA,554777,2026-02-26T00:30:00+00:00,SE Palmeiras,Fluminense FC,LIGA_INSUFICIENTE,34,0,0,0,0
