Pais,Competicion,League_ID,Partidos_futuros
Argentina,Primera Nacional,129,7
Venezuela,Segunda División,300,6
Brazil,Serie A,71,4
Brazil,Serie C,75,4
Brazil,Serie B,72,3
Portugal,Primeira Liga,94,3
Venezuela,Primera División,299,3
Colombia,Liga Femenina,712,3
Iceland,Úrvalsdeild,164,2
Slovenia,1. SNL,373,2
Peru,Segunda División,282,2
Brazil,Paranaense - 3,1138,2
Turkey,1. Lig,204,2
Chile,Primera División,265,2
Brazil,Brasileiro Women,74,2
Serbia,Super Liga,286,2
Bolivia,Primera División,344,2
Paraguay,Division Profesional - Clausura,252,2
Argentina,Liga Profesional Argentina,128,2
Bulgaria,First League,172,1
Poland,Ekstraklasa,106,1
Romania,Liga I,283,1
Chile,Primera B,266,1
Croatia,HNL,210,1
Italy,Coppa Italia,137,1
Bosnia,Premijer Liga,315,1
Costa-Rica,Liga de Ascenso,163,1
Brazil,Goiano - 2,1030,1
Uruguay,Segunda División,269,1
World,Leagues Cup,772,1
USA,NWSL Women,254,1
USA,MLS Next Pro,909,1
Chile,Segunda División,711,1
World,Africa Cup of Nations - Women,922,1
Peru,Liga Women,1229,1
Peru,Primera División,281,1
USA,USL Championship,255,1
Ecuador,Liga Pro,242,1
Costa-Rica,Primera División,162,1
Guatemala,Liga Nacional,339,1
Panama,Liga Panameña de Fútbol,304,1
Honduras,Liga Nacional,234,1
El-Salvador,Primera Division,370,1
Colombia,Primera A,239,1
Uruguay,Primera División,268,1
