scope,market,model,n,prediction_pct,actual_pct,gap_pp,brier,log_loss
ALL,1X,RAW,119,80.3669489815333,82.35294117647058,1.9859921949372805,0.13423964283327225,0.42797024543551554
ALL,1X,ROLLING_BIAS,119,82.61873339412847,82.35294117647058,0.26579221765788974,0.13645671244168073,0.4273707585643378
ALL,1X,LOGIT_OFFSET,119,82.05192690633723,82.35294117647058,0.30101427013334847,0.13742210036720195,0.43371347039873814
BSA,1X,RAW,48,78.89977971774762,75.0,3.89977971774762,0.17796089154761507,0.5330294122656983
BSA,1X,ROLLING_BIAS,48,79.57834082080778,75.0,4.57834082080778,0.1815430637503264,0.5424156932584203
BSA,1X,LOGIT_OFFSET,48,79.4844481425291,75.0,4.484448142529107,0.1815702000828083,0.5426140795403266
PPL,1X,RAW,71,81.35883806127578,87.32394366197182,5.965105600696052,0.10468161553343484,0.3569443298320116
PPL,1X,ROLLING_BIAS,71,84.67421006341567,87.32394366197182,2.6497335985561588,0.10597579888090615,0.34959390130636636
PPL,1X,LOGIT_OFFSET,71,83.78768719736242,87.32394366197182,3.536256464609411,0.10757549774256668,0.36009052337343905
ALL,AWAY_SCORES,RAW,103,78.0522712707792,77.66990291262135,0.3823683581578474,0.1719373422961151,0.5282383244502932
ALL,AWAY_SCORES,ROLLING_BIAS,103,77.14358622261773,77.66990291262135,0.5263166900036365,0.17283497223216368,0.5317057994372139
ALL,AWAY_SCORES,LOGIT_OFFSET,103,77.29000799262404,77.66990291262135,0.3798949199973145,0.1723164335588892,0.5298498327824911
BSA,AWAY_SCORES,RAW,19,75.42731789000212,73.68421052631578,1.7431073636863248,0.19240966233903337,0.5704271240041063
BSA,AWAY_SCORES,ROLLING_BIAS,19,78.11746892425467,73.68421052631578,4.433258397938877,0.1935030683016207,0.5724578693443125
BSA,AWAY_SCORES,LOGIT_OFFSET,19,77.58704766496031,73.68421052631578,3.9028371386445215,0.19312825477562032,0.5720293719107333
PPL,AWAY_SCORES,RAW,84,78.64601072595497,78.57142857142857,0.0745821545263925,0.16730669847688354,0.5186956197893117
PPL,AWAY_SCORES,ROLLING_BIAS,84,76.92330323058081,78.57142857142857,1.6481253408477614,0.16816004574026264,0.5224880693391796
PPL,AWAY_SCORES,LOGIT_OFFSET,84,77.22282044769085,78.57142857142857,1.3486081237377157,0.16760899780748573,0.5203092227415793
