competition,model,n,accuracy_pct,brier_1x2,log_loss_1x2,draw_prediction_pct,draw_actual_pct,draw_brier,one_x_prediction_pct,one_x_actual_pct,one_x_brier,away_scores_prediction_pct,away_scores_actual_pct,away_scores_brier
ALL,V1_RAW,240,0.0,0.5809626561097955,0.9733893127509347,24.043217564227856,25.833333333333336,0.1896846411602119,68.20467795257524,72.08333333333333,0.17549382674536335,67.71295277552319,67.08333333333333,0.2088413445282607
ALL,V2_DYNAMIC,240,0.0,0.5871476269520376,0.9800839523512389,23.65671315524947,25.833333333333336,0.19043577506397666,69.45278580805001,72.08333333333333,0.1784278784554106,67.18471349520264,67.08333333333333,0.20912109006123708
ALL,V2_DYNAMIC_DC,240,0.0,0.5854174176948835,0.9773168103794646,24.08700268843552,25.833333333333336,0.18928230222586348,69.66793057463208,72.08333333333333,0.1793115795043531,67.18471349523864,67.08333333333333,0.20912109006117033
ALL,V2_DYNAMIC_BP,240,0.0,0.5886263880985266,0.9820772383138329,24.189962096501333,25.833333333333336,0.1916782531873786,69.80278078087132,72.08333333333333,0.17842531363240727,67.1846143819501,67.08333333333333,0.20912041415264568
BSA,V1_RAW,76,0.0,0.6289885083206392,1.0387978270427143,24.965821353388538,23.684210526315788,0.185191278384736,73.77525385576449,75.0,0.1848415556991193,64.36095488268604,69.73684210526315,0.20886272708554143
BSA,V2_DYNAMIC,76,0.0,0.6410782194420268,1.0557955748013428,25.24107523258852,23.684210526315788,0.1847888750256008,72.47598687265415,75.0,0.19095431416867079,64.95843677328345,69.73684210526315,0.20865424551061582
BSA,V2_DYNAMIC_DC,76,0.0,0.638045738552657,1.0511488807299985,26.05711373616989,23.684210526315788,0.18276722109935253,72.88400612443014,75.0,0.1918395866393556,64.95843677332607,69.73684210526315,0.20865424551059616
BSA,V2_DYNAMIC_BP,76,0.0,0.6427110931619716,1.0581607615882482,25.692566719330735,23.684210526315788,0.18589882950963657,72.77040809568295,75.0,0.19050759822295976,64.95843095736022,69.73684210526315,0.2086542694026467
PPL,V1_RAW,164,0.0,0.5587067733779411,0.9430780500303537,23.615669466811926,26.82926829268293,0.19176693122689586,65.62319155841439,70.73170731707317,0.17116195235215936,69.26631765269161,65.85365853658537,0.2088314355383013
PPL,V2_DYNAMIC,164,0.0,0.562155401163994,0.9449980785328982,22.922496582824056,26.82926829268293,0.19305263117932164,68.05179019274566,70.73170731707317,0.17262294483219245,68.21640270779935,65.85365853658537,0.20933743265786645
PPL,V2_DYNAMIC_DC,164,0.0,0.5610286836388421,0.943101948509705,23.174024398022024,26.82926829268293,0.19230148616253928,68.17755410033544,70.73170731707317,0.17350591766130316,68.21640270783227,65.85365853658537,0.20933743265777793
PPL,V2_DYNAMIC_BP,164,0.0,0.5635627442886375,0.946819020211055,23.493633124946253,26.82926829268293,0.1943565226965761,68.42753885449517,70.73170731707317,0.17282620613922436,68.21626035919905,65.85365853658537,0.20933643245142566
